数据分类,指标名称,指标代码,单位,频率,数据日期,数值,同比(%),年初至今(%),备注,数据来源
全国大盘,全国酒店ADR,,元,周,2019-12-08T00:00:00Z,192.65,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-12-08T00:00:00Z,113.991,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-12-15T00:00:00Z,59.92,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-12-15T00:00:00Z,192.77,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-12-15T00:00:00Z,115.5078,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-12-22T00:00:00Z,61.45,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-12-22T00:00:00Z,196.18,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-12-22T00:00:00Z,120.5526,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2019-12-29T00:00:00Z,59.02,,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2019-12-29T00:00:00Z,194.78,,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2019-12-29T00:00:00Z,114.9592,,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-01-05T00:00:00Z,53.67,-8.02,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-01-05T00:00:00Z,192.63,-9.38,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-01-05T00:00:00Z,103.3845,-16.65,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-01-12T00:00:00Z,63.43,-0.84,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-01-12T00:00:00Z,192.74,-6.58,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-01-12T00:00:00Z,122.255,-7.37,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-01-19T00:00:00Z,60.97,-4.99,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-01-19T00:00:00Z,197.61,-5.64,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-01-19T00:00:00Z,120.4828,-10.35,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-01-26T00:00:00Z,36.28,-40.37,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-01-26T00:00:00Z,217.15,2.34,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-01-26T00:00:00Z,78.782,-38.97,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-02-02T00:00:00Z,23.62,-49.95,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-02-02T00:00:00Z,191.14,-12.81,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-02-02T00:00:00Z,45.1473,-56.36,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-02-09T00:00:00Z,24.9,-54.64,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-02-09T00:00:00Z,189.69,-39.88,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-02-09T00:00:00Z,47.2328,-72.73,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-02-16T00:00:00Z,27.25,-56.33,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-02-16T00:00:00Z,196.46,-10.6,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-02-16T00:00:00Z,53.5354,-60.96,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-02-23T00:00:00Z,30.01,-52.66,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-02-23T00:00:00Z,185.38,-6.62,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-02-23T00:00:00Z,55.6325,-55.79,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-03-01T00:00:00Z,33.02,-48.73,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-03-01T00:00:00Z,175.13,-13.04,,,酒店之家(STR)
全国大盘,全国酒店RevPAR,,元,周,2020-03-01T00:00:00Z,57.8279,-55.41,,,酒店之家(STR)
全国大盘,全国酒店OCC,,%,周,2020-03-08T00:00:00Z,34.05,-46.77,,,酒店之家(STR)
全国大盘,全国酒店ADR,,元,周,2020-03-08T00:00:00Z,169.74,-17.14,,,酒店之家(STR)
