period_id,year,week,start_date,end_date,region,segment,hotel_count,room_count,hotel_count_15plus,room_count_15plus,occupancy_rate,adr,revpar,source
2017W44,2017,44,2017-10-23,2017-10-29,全国,豪华型,,,,,,747.9,,酒店之家
2017W45,2017,45,2017-10-30,2017-11-05,全国,全部,,,,,,227.05,,酒店之家
2017W45,2017,45,2017-10-30,2017-11-05,全国,经济型,,,,,,148.48,,酒店之家
2017W45,2017,45,2017-10-30,2017-11-05,全国,中档型,,,,,,241.97,,酒店之家
2017W45,2017,45,2017-10-30,2017-11-05,全国,高档型,,,,,,379.2,,酒店之家
2017W45,2017,45,2017-10-30,2017-11-05,全国,豪华型,,,,,,736.31,,酒店之家
2017W46,2017,46,2017-11-06,2017-11-12,全国,全部,,,,,,228.14,,酒店之家
2017W46,2017,46,2017-11-06,2017-11-12,全国,经济型,,,,,,148.51,,酒店之家
2017W46,2017,46,2017-11-06,2017-11-12,全国,中档型,,,,,,240.65,,酒店之家
2017W46,2017,46,2017-11-06,2017-11-12,全国,高档型,,,,,,379.42,,酒店之家
2017W46,2017,46,2017-11-06,2017-11-12,全国,豪华型,,,,,,744.33,,酒店之家
2017W47,2017,47,2017-11-13,2017-11-19,全国,全部,,,,,,228.81,,酒店之家
2017W47,2017,47,2017-11-13,2017-11-19,全国,经济型,,,,,,149.06,,酒店之家
2017W47,2017,47,2017-11-13,2017-11-19,全国,中档型,,,,,,241.24,,酒店之家
2017W47,2017,47,2017-11-13,2017-11-19,全国,高档型,,,,,,381.5,,酒店之家
2017W47,2017,47,2017-11-13,2017-11-19,全国,豪华型,,,,,,746.92,,酒店之家
2017W48,2017,48,2017-11-20,2017-11-26,全国,全部,,,,,,227.67,,酒店之家
2017W48,2017,48,2017-11-20,2017-11-26,全国,经济型,,,,,,147.1,,酒店之家
2017W48,2017,48,2017-11-20,2017-11-26,全国,中档型,,,,,,238.17,,酒店之家
2017W48,2017,48,2017-11-20,2017-11-26,全国,高档型,,,,,,374.56,,酒店之家
2017W48,2017,48,2017-11-20,2017-11-26,全国,豪华型,,,,,,734.04,,酒店之家
2017W49,2017,49,2017-11-27,2017-12-03,全国,全部,,,,,,226.55,,酒店之家
2017W49,2017,49,2017-11-27,2017-12-03,全国,经济型,,,,,,146.68,,酒店之家
2017W49,2017,49,2017-11-27,2017-12-03,全国,中档型,,,,,,236.9,,酒店之家
2017W49,2017,49,2017-11-27,2017-12-03,全国,高档型,,,,,,370.6,,酒店之家
2017W49,2017,49,2017-11-27,2017-12-03,全国,豪华型,,,,,,726.52,,酒店之家
